id,HEX,Rating,Votes
11,#fe2612,3.4952495812395266,597
10,#a8184b,3.569938735888375,13907
13,#000000,3.5987086891690816,22131
12,#ffffff,3.5712937090359174,35702
1,#fb9902,3.5685745318351985,4005
14,#fe5209,3.5656691230655855,1357
3,#fffe35,3.5566304347826097,230
2,#f7bd01,3.5494914658634498,1992
5,#66b131,3.581228906296743,33446
4,#d1e933,3.566124624624637,7326
7,#0944fd,3.4644816849816884,546
6,#0291cd,3.5432832861189754,2118
9,#8602ac,3.6580560747663533,107
8,#3f01a4,3.553591846758351,2036
