id,style,numRatings
1,Fruit Beer,3235
2,American Pale Wheat Ale,3266
3,Sour Ale,3279
4,Cider,3538
5,American Brown Ale,3553
6,Witbier,3969
7,Red Ale,5264
8,American Imperial,5962
9,Double Stout,5962
10,American Amber,6102
11,Märzen,7799
12,Oktoberfest,7799
13,Farmhouse Ale,8317
14,Saison,8317
15,Pumpkin,11914
16,Yam Beer,11914
17,American Pale Ale,13840
18,Double Ipa,15096
19,Imperial,19322
20,American Ipa,30370
